Text,Extra,Tags
"[Cybersecurity] Security controls are classified by implementation as {{c1::managerial::category}}, {{c2::operational::category}}, {{c3::technical::category}}, and {{c4::physical::category}}.","Based on how they are applied.<hr>Rationale: Tests recall of the four implementation categories of security controls in a structured enumeration<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Security controls are classified by function as {{c1::preventive::type}}, {{c2::detective::type}}, {{c3::corrective::type}}, {{c4::deterrent::type}}, {{c5::compensating::type}}, and {{c6::directive::type}}.","Based on their role in incident management.<hr>Rationale: Tests recall of the six functional types of security controls in a structured enumeration<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Security control types include {{c1::preventive::type}}, {{c1::detective::type}}, {{c1::corrective::type}}, ...","Start of functional types.<hr>Rationale: Tests recall of the first three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Security control types include ..., {{c1::detective::type}}, {{c1::corrective::type}}, {{c1::deterrent::type}}, ...","Middle of functional types.<hr>Rationale: Tests recall of the middle three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Security control types include ..., {{c1::corrective::type}}, {{c1::deterrent::type}}, {{c1::compensating::type}}, ...","Middle to end of functional types.<hr>Rationale: Tests recall of the next three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Security control types include ..., {{c1::deterrent::type}}, {{c1::compensating::type}}, {{c1::directive::type}}.","End of functional types.<hr>Rationale: Tests recall of the last three functional types in sequence<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-controls cloze enumerative"
"[Cybersecurity] Access control lists (ACLs) determine {{c1::access permissions::function}} for {{c2::subjects::entity}} to {{c3::resources::target}}.","Core security mechanism.<hr>Rationale: Tests recall of the key function, entity, and target of access control lists in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity access-control cloze enumerative"
"[Cybersecurity] The {{c1::Chief Security Officer (CSO)::role}} is responsible for {{c2::information assurance::function}} and {{c3::systems security::function}}.","Key organizational role.<hr>Rationale: Tests recall of the CSO’s title and its two primary responsibilities in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-roles cloze enumerative"
"[Cybersecurity] Preventive controls aim to {{c1::eliminate or reduce::action or action}} the likelihood of a {{c2::successful attack::outcome}}.","Core preventive function.<hr>Rationale: Tests recall of the key purpose and outcome of preventive controls in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity preventive-controls cloze enumerative"
"[Cybersecurity] The {{c1::Chief Information Officer (CIO)::role}} manages {{c2::IT assets::resource}}.","Key organizational role.<hr>Rationale: Tests recall of the CIO’s title and primary responsibility in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-roles cloze enumerative"
"[Cybersecurity] The {{c1::Chief Technology Officer (CTO)::role}} focuses on effective use of {{c2::new computing platforms::resource}}.","Key organizational role.<hr>Rationale: Tests recall of the CTO’s title and primary responsibility in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2","Section::1.2 cybersecurity security-roles cloze enumerative"